3	1	2
6	2	18
9	18	28
12	28	41
18	6	2
21	6	7
27	7	4
30	2	9
36	9	8
44	8	4
47	3	4
50	4	807
53	18	17
56	17	19
59	19	23
62	807	20
64	20	19
67	807	22
69	22	23
72	18	24
74	24	23
77	23	25
80	807	31
83	31	30
86	30	29
89	28	27
91	27	29
94	31	32
97	32	34
100	28	33
102	33	34
104	29	34
107	34	35
113	25	103
128	105	106
131	106	108
136	106	107
145	133	134
148	134	315
181	315	302
183	302	300
186	300	299
205	10	11
211	11	12
214	12	13
226	16	70
235	70	69
241	69	68
244	68	67
247	67	66
250	66	64
253	64	63
256	63	62
265	37	38
268	38	39
271	39	333
274	333	332
277	332	331
280	331	330
282	330	327
285	327	328
288	328	521
291	521	520
294	521	523
297	31	44
300	44	43
303	43	42
306	41	40
308	40	42
311	42	47
314	44	45
316	45	47
319	41	46
321	46	47
324	47	48
327	70	71
349	146	145
385	145	147
409	148	149
445	580	589
457	350	351
463	408	409
469	48	51
475	51	579
481	579	522
487	579	760
490	760	755
493	705	704
496	149	335
816	523	551
819	551	550
830	522	520
833	520	493
844	762	768
847	523	524
850	524	517
1081	554	806
1395	219	218
1424	215	216
1458	233	232
1475	223	224
1482	224	225
1485	225	228
1556	277	276
1559	276	272
1620	285	284
1623	284	275
1632	280	279
1640	279	274
1698	305	304
1707	274	275
1709	274	273
1711	272	268
1713	268	230
1715	230	229
1717	228	226
1742	136	131
1745	131	130
1747	130	129
1750	129	128
1767	109	110
1769	110	111
1771	111	113
1773	113	114
1776	114	115
1779	115	116
1782	116	128
1793	128	120
1796	120	118
1806	117	118
1813	88	96
1816	87	88
1819	61	87
1830	336	337
1838	337	338
1849	339	340
1855	493	492
1867	490	487
1880	487	486
1894	340	341
1900	517	483
1906	481	480
1922	805	397
1925	436	438
1928	438	442
1931	442	441
1934	441	440
1978	478	828
1981	484	485
1983	485	486
1986	486	446
2005	436	437
2010	437	439
2013	439	443
2015	439	440
2017	440	446
2020	446	444
2023	444	445
2025	443	444
2038	445	249
2045	249	250
2048	250	251
2051	295	251
2054	325	296
2057	326	325
2122	414	413
2125	413	412
2137	711	710
2140	710	709
2143	709	708
2146	711	700
