176	144	84
169	139	124
168	137	138
166	133	134
165	133	135
157	131	130
153	130	43
152	130	40
42	130	39
175	130	10
151	129	1
171	141	140
174	128	142
147	127	143
173	127	128
148	126	124
146	126	125
145	125	123
164	125	132
144	124	73
167	124	136
143	123	133
142	123	72
138	122	121
136	121	117
134	120	119
133	119	118
132	118	117
131	117	106
140	116	115
130	116	98
139	115	122
129	115	114
128	114	113
127	113	112
135	112	120
126	112	111
125	111	110
124	110	109
123	109	108
122	108	107
121	107	106
120	106	105
119	105	104
118	104	79
116	103	78
115	102	103
114	101	102
113	100	101
112	99	100
161	99	102
111	98	99
137	97	116
160	97	121
109	96	77
105	95	83
104	94	95
102	93	92
103	92	94
101	92	91
106	91	81
100	91	90
107	90	80
99	90	89
159	89	88
110	89	97
108	88	96
98	88	87
141	87	71
162	87	76
96	86	75
94	85	82
93	83	144
92	82	83
91	81	82
90	80	81
89	79	80
117	78	79
88	77	78
87	76	77
86	75	76
85	74	75
84	73	74
83	72	73
97	71	86
81	71	70
80	70	69
79	69	68
95	68	86
78	67	68
82	66	72
77	66	67
76	65	66
170	140	127
150	64	63
172	64	140
72	63	137
73	61	59
71	61	62
70	61	60
163	60	58
69	59	58
68	58	57
67	57	56
149	56	126
66	55	56
74	54	64
64	54	55
65	53	55
63	53	54
62	52	53
60	51	52
58	50	51
75	49	65
61	48	52
54	47	33
53	47	48
155	46	44
51	46	47
50	45	46
52	44	48
154	43	51
47	43	44
46	43	42
45	42	39
48	41	45
43	40	41
59	39	38
57	38	50
44	37	36
41	37	38
156	36	41
39	35	36
36	34	30
55	33	21
34	32	33
33	31	32
37	30	31
32	29	30
29	29	28
49	28	45
28	27	28
26	26	13
23	25	24
22	24	23
21	23	22
35	22	34
56	21	49
19	20	21
24	19	25
18	19	20
17	18	19
16	17	18
15	16	17
14	15	16
13	14	15
20	13	22
12	13	14
10	12	2
9	12	11
11	11	13
8	10	9
158	9	1
7	9	8
6	8	7
5	7	6
4	6	5
3	5	4
40	4	37
38	3	35
2	3	4
1	2	3
30	1	12
27	1	27
0	1	0
31	0	29
25	0	26
